gvkey,year,ind2d,markup,theta_c,cost_share
001001,1983.0,72,3.5509733782804793,0.8823249465229306,0.24847410907658984
001001,1984.0,72,3.2910929146500867,0.8401762178775223,0.25528790577061267
001001,1985.0,72,3.537078339913654,0.8895622502515286,0.2514963381538347
001003,1983.0,44,1.3239181399604922,0.8128951444446755,0.6140071050532879
001003,1984.0,44,1.4257781557777565,0.9268743669420806,0.6500831585797961
001003,1985.0,44,1.5358049030670151,0.8799338604988118,0.5729463805862168
001003,1986.0,44,1.694313066663299,0.8921882648875072,0.5265781645918255
001003,1987.0,44,1.381394794824998,0.8788845189154546,0.6362297890566441
001003,1988.0,44,1.4253523966203845,0.9436312501400494,0.6620336503291878
001003,1989.0,44,1.3966542403523419,0.8613921387920733,0.6167540353973114
001004,1965.0,42,1.542840940087781,0.9799725102311028,0.6351740382098926
001004,1966.0,42,1.5086488119933799,0.9890175172737006,0.6555651052857757
001004,1967.0,42,1.3197888173572714,0.9622147972099324,0.7290672451193058
001004,1968.0,42,1.3412120107391,0.9831423517852502,0.7330253113700281
001004,1969.0,42,1.3737176991204723,0.9947972869848539,0.7241642788920726
001004,1970.0,42,2.856270833057781,2.156628057357167,0.7550502677816405
001004,1971.0,42,1.0076541795063447,0.7450027431877921,0.7393436739901909
001004,1972.0,42,0.9925590878792702,0.7334906563371054,0.7389894116070231
001004,1973.0,42,1.076966478635211,0.8293724263861613,0.7701005025125628
001004,1974.0,42,1.1216047463654788,0.8353826147004333,0.7448101636583312
001004,1975.0,42,1.1897159029254027,0.928147286548989,0.7801419517607184
001004,1976.0,42,1.1593332080256185,0.9260270268314643,0.7987583038430496
001004,1977.0,42,1.2581912782808464,0.9945566933715146,0.7904654169360052
001004,1978.0,42,1.1217311534087908,0.8663080155839622,0.7722955834393723
001004,1979.0,42,1.2651606276460767,0.9820766148178521,0.7762465835228188
001004,1980.0,42,1.2695821622096466,0.9616978027685787,0.7574915837623223
001004,1981.0,42,1.2536077199254119,0.9809300124456717,0.7824856187899321
001004,1982.0,42,1.3010279855337648,0.9898089573954574,0.7607899049069068
001004,1983.0,42,1.2853144841163264,0.9741411504542938,0.7579010137149672
001004,1984.0,42,1.2806155512864792,0.9666001908692202,0.7547934193819481
001004,1985.0,42,1.3481851851637185,1.0096766136005884,0.7489153750624971
